################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDNfM -omT --dskopts z --cpuopts z -i .1 --sep , -P -f /home/jacob/RUIS/tmp.Lg6voQtaRI 
# Host:       ct01  DaemonOpts: 
# Booted:     1615262611.27 [20210308-23:03:31]
# Distro:     debian bullseye/sid, Ubuntu 20.04.2 LTS  Platform: Unknown
# Date:       20210505-195040  Secs: 1620258640 TZ: -0400
# SubSys:     CDNfM Options: mT Interval: .1 NumCPUs: 32 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1000.070 Cores: 16  Siblings: 32 Nodes: 1
# Kernel:     4.18.0-147.5.1.el8_1.x86_64  Memory: 131380412 kB  Swap: 4194300 kB
# NumDisks:   5 DiskNames: sda sdb dm-0 dm-1 dm-2
# NumNets:    8 NetNames: eno1:1000 docker0:?? lo:?? ens2f1:25000 idrac:?? vethd4beeca:10000 eno2:1000 ens2f0:10000
# SCSI:       CD:14:00:00:00 DA:0:00:00:00 DA:0:00:01:00
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20210505,19:50:45.401,124025948,7354464,7610120,279316,562756,153600,93323328,100.00
20210505,19:50:45.501,124043120,7337292,7610120,279316,562764,153600,93341028,100.00
20210505,19:50:45.601,124060780,7319632,7610120,279316,562768,153600,93358284,100.00
20210505,19:50:45.701,124076204,7304208,7610440,279316,562768,153600,93373680,100.00
20210505,19:50:45.801,124091812,7288600,7610440,279316,562768,153600,93388860,100.00
20210505,19:50:45.901,124109096,7271316,7610440,279316,562772,153600,93406620,100.00
20210505,19:50:46.001,124126744,7253668,7610536,279316,562780,153600,93424012,100.00
20210505,19:50:46.101,124144064,7236348,7610536,279316,562784,153600,93441268,100.00
20210505,19:50:46.201,124161324,7219088,7610552,279316,562788,153600,93458464,100.00
20210505,19:50:46.301,124177016,7203396,7610648,279316,562792,153600,93474172,100.00
20210505,19:50:46.401,124194164,7186248,7610648,279316,562796,153600,93491368,100.00
20210505,19:50:46.501,124210032,7170380,7610648,279316,562800,153600,93507112,100.00
20210505,19:50:46.601,124227168,7153244,7610648,279316,562800,153600,93524308,100.00
20210505,19:50:46.701,124242440,7137972,7610648,279316,562800,153600,93539548,100.00
20210505,19:50:46.801,124260456,7119956,7610856,279316,562800,153600,93557392,100.00
20210505,19:50:46.901,124277752,7102660,7610856,279316,562800,153600,93574528,100.00
20210505,19:50:47.001,124294920,7085492,7610856,279316,562800,153600,93591664,100.00
20210505,19:50:47.101,124312396,7068016,7610856,279316,562800,153600,93608800,100.00
20210505,19:50:47.201,124329692,7050720,7610856,279316,562800,153600,93625936,100.00
20210505,19:50:47.301,124340632,7039780,7611064,279316,562804,153600,93636632,100.00
20210505,19:50:47.401,124341000,7039412,7611320,279316,562804,153600,93637136,100.00
20210505,19:50:47.501,124341580,7038832,7611704,279316,562804,153600,93637136,100.00
20210505,19:50:47.601,124342244,7038168,7612312,279316,562804,153600,93637136,100.00
20210505,19:50:47.701,124342412,7038000,7612312,279316,562804,153600,93637136,100.00
20210505,19:50:47.801,124343256,7037156,7613016,279316,562804,153600,93637136,100.00
20210505,19:50:47.901,124343072,7037340,7613248,279316,562824,153600,93637712,100.00
20210505,19:50:48.001,124343492,7036920,7613536,279316,562824,153600,93637832,100.00
20210505,19:50:48.101,124343960,7036452,7613856,279316,562828,153600,93637892,100.00
20210505,19:50:48.201,124344228,7036184,7614088,279316,562836,153600,93638012,100.00
20210505,19:50:48.301,124344384,7036028,7614120,279320,562836,153600,93638092,100.00
20210505,19:50:48.401,124344468,7035944,7614120,279324,562836,153600,93638212,100.00
20210505,19:50:48.501,124341680,7038732,7611204,279324,562836,153600,93638400,100.00
20210505,19:50:48.601,124341816,7038596,7611204,279324,562836,153600,93638520,100.00
20210505,19:50:48.701,124341988,7038424,7611204,279324,562836,153600,93638580,100.00
20210505,19:50:48.801,124342108,7038304,7611204,279324,562836,153600,93638700,100.00
20210505,19:50:48.901,124342136,7038276,7611204,279324,562860,153600,93638764,100.00
20210505,19:50:49.001,124342304,7038108,7611204,279324,562860,153600,93638884,100.00
20210505,19:50:49.101,124342232,7038180,7611204,279324,562860,153600,93638944,100.00
20210505,19:50:49.201,124345064,7035348,7611204,279324,565016,153600,93639076,100.00
20210505,19:50:49.301,124360820,7019592,7611276,279388,570844,153600,93648864,100.00
20210505,19:50:49.401,124370392,7010020,7611348,279388,570848,153600,93658400,100.00
20210505,19:50:49.501,124379472,7000940,7611348,279388,570848,153600,93667028,100.00
20210505,19:50:49.601,124388624,6991788,7611604,279388,570868,153600,93676212,100.00
20210505,19:50:49.701,124397276,6983136,7611900,279388,570996,153600,93683296,100.00
20210505,19:50:49.801,124409956,6970456,7612220,279388,571228,153600,93695248,100.00
20210505,19:50:49.901,124420288,6960124,7612236,279388,571228,153600,93705496,100.00
20210505,19:50:50.001,124433424,6946988,7613220,279516,572580,153600,93718100,100.00
20210505,19:50:50.101,124442928,6937484,7613348,279516,572596,153600,93727516,100.00
20210505,19:50:50.201,124450736,6929676,7613516,279516,572612,153600,93735056,100.00
20210505,19:50:50.301,124456484,6923928,7614236,279516,572860,153600,93739464,100.00
