################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDNfM -omT --dskopts z --cpuopts z -i .1 --sep , -P -f /home/math/master/projects/ruis-apps/tmp.bUwrgIvKkN 
# Host:       arch  DaemonOpts: 
# Booted:     1608051155.87 [20201215-11:52:35]
# Distro:     debian bullseye/sid, Ubuntu 20.04.1 LTS  Platform: Unknown
# Date:       20201215-203344  Secs: 1608082424 TZ: -0500
# SubSys:     CDNfM Options: mT Interval: .1 NumCPUs: 24 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        AuthenticAMD Speed(MHz): 2767.975 Cores: 12  Siblings: 24 Nodes: 1
# Kernel:     5.9.12-arch1-1  Memory: 65871868 kB  Swap: 0 kB
# NumDisks:   2 DiskNames: nvme0n1 nvme1n1
# NumNets:    6 NetNames: lo:?? enp7s0:?? enp6s0:1000 br-8b161ea8f973:?? br-9c7347618dfb:?? docker0:??
################################################################################
#Date,Time,[NFS]ReadsS,[NFS]WritesS,[NFS]MetaS,[NFS]CommitS,[NFS]Udp,[NFS]Tcp,[NFS]TcpConn,[NFS]BadAuth,[NFS]BadClient,[NFS]ReadsC,[NFS]WritesC,[NFS]MetaC,[NFS]CommitC,[NFS]Retrans,[NFS]AuthRef
20201215,20:33:44.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:44.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:44.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:44.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:44.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:44.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:44.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:45.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:46.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:47.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:48.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:49.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:50.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:51.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:51.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:51.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:51.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:51.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201215,20:33:51.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
