################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDNfM -omT --dskopts z --cpuopts z -i .1 --sep , -P -f /home/math/master/projects/ruis-apps/tmp.bUwrgIvKkN 
# Host:       arch  DaemonOpts: 
# Booted:     1608051155.87 [20201215-11:52:35]
# Distro:     debian bullseye/sid, Ubuntu 20.04.1 LTS  Platform: Unknown
# Date:       20201215-203344  Secs: 1608082424 TZ: -0500
# SubSys:     CDNfM Options: mT Interval: .1 NumCPUs: 24 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        AuthenticAMD Speed(MHz): 2767.975 Cores: 12  Siblings: 24 Nodes: 1
# Kernel:     5.9.12-arch1-1  Memory: 65871868 kB  Swap: 0 kB
# NumDisks:   2 DiskNames: nvme0n1 nvme1n1
# NumNets:    6 NetNames: lo:?? enp7s0:?? enp6s0:1000 br-8b161ea8f973:?? br-9c7347618dfb:?? docker0:??
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20201215,20:33:44.303,58358712,7513156,2157372,204244,348024,0,51253656,100.00
20201215,20:33:44.401,58340840,7531028,2157284,204260,329552,0,51235136,100.00
20201215,20:33:44.503,58340840,7531028,2157284,204260,329568,0,51235136,100.00
20201215,20:33:44.601,58340840,7531028,2157284,204260,329580,0,51235196,100.00
20201215,20:33:44.703,58340840,7531028,2157284,204260,329580,0,51235196,100.00
20201215,20:33:44.801,58340840,7531028,2157284,204260,329584,0,51235196,100.00
20201215,20:33:44.901,58340840,7531028,2157284,204260,329588,0,51235196,100.00
20201215,20:33:45.001,58417332,7454536,2157284,204260,406752,0,51312360,100.00
20201215,20:33:45.101,58390620,7481248,2157284,204276,379932,0,51285528,100.00
20201215,20:33:45.201,58390620,7481248,2157284,204276,379936,0,51285528,100.00
20201215,20:33:45.301,58391124,7480744,2157284,204276,379936,0,51285932,100.00
20201215,20:33:45.401,58391628,7480240,2157284,204276,379936,0,51286336,100.00
20201215,20:33:45.501,58392132,7479736,2157284,204276,379936,0,51287144,100.00
20201215,20:33:45.601,58392636,7479232,2157284,204276,379936,0,51287548,100.00
20201215,20:33:45.701,58281792,7590076,2157292,203868,265296,0,51172904,100.00
20201215,20:33:45.801,58312536,7559332,2157292,203868,296404,0,51204012,100.00
20201215,20:33:45.901,58316552,7555316,2157292,203868,300848,0,51208052,100.00
20201215,20:33:46.001,58343768,7528100,2157292,203868,327916,0,51235524,100.00
20201215,20:33:46.101,58343752,7528116,2157292,203868,327916,0,51235524,100.00
20201215,20:33:46.201,58343752,7528116,2157292,203868,327916,0,51235524,100.00
20201215,20:33:46.301,58344016,7527852,2157268,204128,327648,0,51235424,100.00
20201215,20:33:46.401,58344008,7527860,2157268,204128,327652,0,51235424,100.00
20201215,20:33:46.501,58344008,7527860,2157268,204128,327660,0,51235424,100.00
20201215,20:33:46.601,58372232,7499636,2157268,204128,355132,0,51262896,100.00
20201215,20:33:46.701,58396920,7474948,2157268,204128,380188,0,51287944,100.00
20201215,20:33:46.801,58396920,7474948,2157268,204128,380192,0,51287944,100.00
20201215,20:33:46.901,58397424,7474444,2157268,204128,380192,0,51288348,100.00
20201215,20:33:47.001,58397500,7474368,2157260,203924,379004,0,51287568,100.00
20201215,20:33:47.101,58397752,7474116,2157228,204148,379140,0,51288268,100.00
20201215,20:33:47.201,58280528,7591340,2157228,203924,260232,0,51166636,100.00
20201215,20:33:47.301,58314584,7557284,2157164,203924,294984,0,51200976,100.00
20201215,20:33:47.401,58314680,7557188,2157268,203924,294988,0,51200976,100.00
20201215,20:33:47.501,58366720,7505148,2157268,203924,346296,0,51252688,100.00
20201215,20:33:47.601,58349348,7522520,2157268,203924,328120,0,51234508,100.00
20201215,20:33:47.701,58349348,7522520,2157268,203924,328124,0,51234508,100.00
20201215,20:33:47.801,58349348,7522520,2157268,203924,328128,0,51234508,100.00
20201215,20:33:47.901,58349348,7522520,2157268,203924,328128,0,51234508,100.00
20201215,20:33:48.001,58349340,7522528,2157268,203924,328136,0,51234508,100.00
20201215,20:33:48.101,58349064,7522804,2157268,204076,327768,0,51234132,100.00
20201215,20:33:48.201,58383840,7488028,2157268,204076,363324,0,51269684,100.00
20201215,20:33:48.301,58399212,7472656,2157268,204076,378680,0,51285036,100.00
20201215,20:33:48.401,58399212,7472656,2157268,204076,378680,0,51285036,100.00
20201215,20:33:48.501,58399716,7472152,2157268,204076,378684,0,51285488,100.00
20201215,20:33:48.601,58400220,7471648,2157268,204076,378688,0,51285892,100.00
20201215,20:33:48.701,58400220,7471648,2157268,204076,378688,0,51286296,100.00
20201215,20:33:48.801,58400724,7471144,2157268,204076,378688,0,51286700,100.00
20201215,20:33:48.901,58280256,7591612,2157316,204344,257500,0,51165872,100.00
20201215,20:33:49.001,58327928,7543940,2157164,204344,305172,0,51213544,100.00
20201215,20:33:49.101,58317712,7554156,2157164,204344,295476,0,51203848,100.00
20201215,20:33:49.201,58350608,7521260,2157164,204748,327804,0,51236168,100.00
20201215,20:33:49.301,58350836,7521032,2157252,204224,327528,0,51236004,100.00
20201215,20:33:49.401,58350836,7521032,2157252,204224,327528,0,51236004,100.00
20201215,20:33:49.501,58350836,7521032,2157252,204224,327528,0,51236004,100.00
20201215,20:33:49.601,58350836,7521032,2157252,204224,327528,0,51236004,100.00
20201215,20:33:49.701,58350828,7521040,2157252,204224,327528,0,51236004,100.00
20201215,20:33:49.801,58350828,7521040,2157252,204224,327528,0,51236004,100.00
20201215,20:33:49.901,58411812,7460056,2157252,204224,388128,0,51296604,100.00
20201215,20:33:50.001,58402236,7469632,2157252,204224,378432,0,51286908,100.00
20201215,20:33:50.101,58402236,7469632,2157252,204224,378432,0,51286908,100.00
20201215,20:33:50.201,58402740,7469128,2157252,204224,378432,0,51287312,100.00
20201215,20:33:50.301,58403244,7468624,2157252,204224,378452,0,51287716,100.00
20201215,20:33:50.401,58403748,7468120,2157252,204224,378456,0,51288120,100.00
20201215,20:33:50.501,58404252,7467616,2157252,204224,378460,0,51288524,100.00
20201215,20:33:50.601,58286624,7585244,2157252,204640,260344,0,51170632,100.00
20201215,20:33:50.701,58321896,7549972,2157252,204640,295092,0,51205376,100.00
20201215,20:33:50.801,58321896,7549972,2157252,204640,295092,0,51205376,100.00
20201215,20:33:50.901,58372296,7499572,2157252,204640,345592,0,51255876,100.00
20201215,20:33:51.001,58356136,7515732,2157252,204640,328224,0,51238504,100.00
20201215,20:33:51.101,58356128,7515740,2157252,204640,328228,0,51238504,100.00
20201215,20:33:51.201,58356128,7515740,2157252,204640,328228,0,51238504,100.00
20201215,20:33:51.301,58355252,7516616,2157140,203944,327920,0,51238236,100.00
20201215,20:33:51.401,58355252,7516616,2157140,203944,327920,0,51238236,100.00
20201215,20:33:51.501,58355252,7516616,2157140,203944,327920,0,51238236,100.00
20201215,20:33:51.601,58417232,7454636,2157140,203944,390136,0,51300452,100.00
20201215,20:33:51.701,58404676,7467192,2157140,203944,378824,0,51289140,100.00
20201215,20:33:51.801,58405180,7466688,2157140,203944,378832,0,51289544,100.00
20201215,20:33:51.901,58405684,7466184,2157140,203944,378832,0,51289948,100.00
20201215,20:33:52.001,58406196,7465672,2157148,203944,378836,0,51290352,100.00
20201215,20:33:52.101,58406700,7465168,2157148,203944,378836,0,51290756,100.00
20201215,20:33:52.201,58290876,7580992,2157184,203960,261980,0,51174128,100.00
20201215,20:33:52.301,58324140,7547728,2157184,203960,295112,0,51206852,100.00
20201215,20:33:52.401,58324132,7547736,2157184,203960,295120,0,51206852,100.00
20201215,20:33:52.501,58358364,7513504,2157184,203960,328248,0,51240384,100.00
20201215,20:33:52.601,58358364,7513504,2157184,203960,328248,0,51240384,100.00
20201215,20:33:52.701,58358364,7513504,2157184,203960,328252,0,51240384,100.00
20201215,20:33:52.801,58358364,7513504,2157184,203960,328252,0,51240384,100.00
20201215,20:33:52.901,58358364,7513504,2157184,203960,328252,0,51240384,100.00
20201215,20:33:53.001,58358364,7513504,2157184,203960,328252,0,51240384,100.00
20201215,20:33:53.101,58358348,7513520,2157184,203960,328656,0,51240788,100.00
20201215,20:33:53.201,58390124,7481744,2157176,204152,360708,0,51272532,100.00
20201215,20:33:53.301,58408268,7463600,2157176,204152,378888,0,51290712,100.00
20201215,20:33:53.401,58408772,7463096,2157176,204152,378888,0,51291116,100.00
20201215,20:33:53.501,58409276,7462592,2157176,204152,378888,0,51291520,100.00
20201215,20:33:53.601,58409780,7462088,2157176,204152,378888,0,51291924,100.00
